id,first_name,last_name,birth_date,city
1,Alex,Williams,2000-01-05,Cleveland
2,Lily,Adams,1990-04-20,New York
3,Alan,Jackson,1992-03-12,Seatle
4,Jack,Alison,1945-07-20,Annandale
5,Daniel,Kowalsky,1955-03-20,Chicago
6,Gary,Brown,2001-02-02,San Francisco
7,Marian,Jackson,2000-01-01,Cleveland
8,Frank,Augusto,1944-04-14,New York
9,Nina,Blake,2000-03-12,null
10,Stanley,Blake,1999-02-20,null
11,Mark,Martin,1993-06-12,Cleveland
12,Henry,Smith,1955-05-30,San Francisco
13,Ebanez,Davis,1999-08-08,Chicago
14,Michael,Taylor,1998-12-20,Boston
15,Mark,Augusto,1970-07-17,San Antonio
16,James,Moore,2000-06-06,San Antonio
17,Emma,Rose,1998-09-19,Chicago
18,Amelia,Stone,2001-03-28,Washington
19,Olivia,Hawkins,2002-02-24,Chicago
20,Mia,Dunn,2001-01-01,Austin
21,Lucas,Jackson,1980-02-05,Tucson
22,Benjamin,Stone,1981-08-10,Aurora
23,Mark,Martin,1985-10-11,Chicago
24,Mason,Stone,1997-07-12,Boston
